DATE,BTC,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets,Energy_Median,Layer0_Median,SmartContract_Median,Lending_Median,Exchange_Median,SocialTokens_Median,Gaming_Median,RealWorldAssets_Median,BTC_pct_change,ETH_pct_change,BNB_pct_change,SOL_pct_change,SPY_pct_change,NVDA_pct_change,Oil_pct_change,Gold_pct_change,Nasdaq_pct_change,Energy_pct_change,Layer0_pct_change,SmartContract_pct_change,Lending_pct_change,Exchange_pct_change,SocialTokens_pct_change,Gaming_pct_change,RealWorldAssets_pct_change,Energy_Median_pct_change,Layer0_Median_pct_change,SmartContract_Median_pct_change,Lending_Median_pct_change,Exchange_Median_pct_change,SocialTokens_Median_pct_change,Gaming_Median_pct_change,RealWorldAssets_Median_pct_change,Corr_ETH,Corr_BNB,Corr_SOL,Corr_SPY,Corr_NVDA,Corr_Oil,Corr_Gold,Corr_Nasdaq
2023-08-07,29180.578125,1826.938843,241.797501,23.068756,444.492706,45.403404,81.94,1970.0,13994.4,0.1551693251,4.965334352,0.06798485287,0.0004752914492,0.181435816,3.218347246,0.1654678891,28755.230980994,0.1551693251,4.965334352,0.06798485287,0.0004752914492,0.181435816,3.218347246,0.1654678891,28755.230980994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-08,29765.492188,1855.807373,245.149902,24.211763,442.559723,44.650635,82.92,1959.9,13884.32,0.1581587753,5.058990016,0.0675887421,0.0004705369373,0.1836052663,3.232090947,0.1803869566,28145.895346065,0.1581587753,5.058990016,0.0675887421,0.0004705369373,0.1836052663,3.232090947,0.1803869566,28145.895346065,0.020044635870283933,0.015801585318858002,0.013864498128125735,0.04954783864374823,-0.004348739526897849,-0.016579571875271704,0.011959970710275769,-0.005126903553299478,-0.007866003544274802,0.019265729215960814,0.018861904830693943,-0.0058264562366184824,-0.01000336090203735,0.011957122622360261,0.004270422036367183,0.09016291669124832,-0.021190427415858526,0.019265729215960814,0.018861904830693943,-0.0058264562366184824,-0.01000336090203735,0.011957122622360261,0.004270422036367183,0.09016291669124832,-0.021190427415858526,,,,,,,,
2023-08-09,29561.494141,1854.297607,243.893646,24.378527,439.601135,42.541264,84.4,1950.6,13722.02,0.1574671216,5.056251029,0.06206937399,0.0004724854837,0.1878704805,3.24597753,0.1823756564,29652.302555561,0.1574671216,5.056251029,0.06206937399,0.0004724854837,0.1878704805,3.24597753,0.1823756564,29652.302555561,-0.006853508274331288,-0.0008135359423426802,-0.005124440147644904,0.006887726432808661,-0.006685172297073216,-0.04724167976558458,0.017848528702363753,-0.004745140058166286,-0.011689445359945538,-0.004373160443914892,-0.000541409844917129,-0.0816610568344931,0.004141112515376522,0.023230347832348786,0.004296470374043571,0.011024631921751737,0.053521381749421115,-0.004373160443914892,-0.000541409844917129,-0.0816610568344931,0.004141112515376522,0.023230347832348786,0.004296470374043571,0.011024631921751737,0.053521381749421115,,,,,,,,
2023-08-10,29429.591797,1850.753418,241.262466,24.613052,439.758911,42.375313,82.82,1948.9,13737.99,0.1574296248,4.999988487,0.06888081577,0.0004728201316,0.1868867444,3.267737548,0.181853013,29273.014718722,0.1574296248,4.999988487,0.06888081577,0.0004728201316,0.1868867444,3.267737548,0.181853013,29273.014718722,-0.004461964722448086,-0.0019113377413747523,-0.010788226930684375,0.009620146451014167,0.0003589071716114667,-0.0039009419184159455,-0.018720379146919597,-0.0008715267097302304,0.001163822819089333,-0.0002381246295671824,-0.011127323718167381,0.109739173156433,0.0007082712835522198,-0.00523624625530239,0.006703687194039132,-0.002865751988597065,-0.012791176541123939,-0.0002381246295671824,-0.011127323718167381,0.109739173156433,0.0007082712835522198,-0.00523624625530239,0.006703687194039132,-0.002865751988597065,-0.012791176541123939,,,,,,,,
2023-08-11,29397.714844,1847.12439,239.706894,24.582861,439.502533,40.842773,83.19,1946.6,13644.85,0.1574609215,5.003949694,0.06449873792,0.0004715304075,0.1898228148,3.270111651,0.1699983295,29175.118970799,0.1574609215,5.003949694,0.06449873792,0.0004715304075,0.1898228148,3.270111651,0.1699983295,29175.118970799,-0.0010831598759467598,-0.0019608381995704915,-0.006447633673776654,-0.0012266256131095998,-0.0005829967138516468,-0.03616586855653425,0.004467519922723984,-0.001180152906767984,-0.006779739976517596,0.00019879803461231305,0.0007922432242191135,-0.06361826295194029,-0.002727726705789024,0.01571042616974383,0.0007265280534702878,-0.06518827103513547,-0.0033442318416349037,0.00019879803461231305,0.0007922432242191135,-0.06361826295194029,-0.002727726705789024,0.01571042616974383,0.0007265280534702878,-0.06518827103513547,-0.0033442318416349037,,,,,,,,
2023-08-14,29408.443359,1844.185791,240.339249,25.142822,441.928558,43.739902,82.51,1944.0,13788.33,0.1631690839,4.985663148,0.06160788661,0.0004789540776,0.190580652,3.245919716,0.1735623559,29148.14071788,0.1631690839,4.985663148,0.06160788661,0.0004789540776,0.190580652,3.245919716,0.1735623559,29148.14071788,0.0003649438419595086,-0.001590904768465462,0.0026380342652974065,0.022778512232567216,0.005519934056898768,0.07093369982493591,-0.008174059382137222,-0.0013356621802116386,0.010515322630882729,0.03625129553176176,-0.0036544224299309702,-0.044820277159308364,0.015743778093462613,0.003992339913400089,-0.0073978926660202005,0.02096506718908664,-0.0009247006994557161,0.03625129553176176,-0.0036544224299309702,-0.044820277159308364,0.015743778093462613,0.003992339913400089,-0.0073978926660202005,0.02096506718908664,-0.0009247006994557161,,,,,,,,
2023-08-15,29170.347656,1826.932739,236.679581,23.896585,436.780579,43.926846,80.99,1935.2,13631.05,0.1532222114,4.812902778,0.06407503463,0.0004503508745,0.184648608,3.0576406,0.1725059426,29298.395768242,0.1532222114,4.812902778,0.06407503463,0.0004503508745,0.184648608,3.0576406,0.1725059426,29298.395768242,-0.008096168168218676,-0.009355376277270122,-0.015227092600260117,-0.04956631359837005,-0.011648894163567514,0.0042739922005310405,-0.018422009453399668,-0.004526748971193428,-0.01140674759017235,-0.060960521823460456,-0.03465143249184488,0.040045977159027135,-0.05972013693531608,-0.031126160697571792,-0.058004859168858114,-0.006086649921995035,0.005154875977040563,-0.060960521823460456,-0.03465143249184488,0.040045977159027135,-0.05972013693531608,-0.031126160697571792,-0.058004859168858114,-0.006086649921995035,0.005154875977040563,,,,,,,,
2023-08-16,28701.779297,1805.659058,231.868744,22.811975,433.575439,43.472984,79.38,1928.3,13474.63,0.1417532785,4.667201906,0.05761781343,0.0004157745506,0.1702023466,2.891067799,0.1712387007,28884.51426414,0.1417532785,4.667201906,0.05761781343,0.0004157745506,0.1702023466,2.891067799,0.1712387007,28884.51426414,-0.016063173621573945,-0.011644479594604351,-0.020326371120287012,-0.04538765685557167,-0.0073381009918941364,-0.010332223715766031,-0.019878997407087318,-0.003565522943365096,-0.011475271530806519,-0.07485163407581519,-0.030272972200062975,-0.10077592992788997,-0.07677641114472844,-0.07823650314222785,-0.05447756057399289,-0.007346076783791844,-0.014126422053135967,-0.07485163407581519,-0.030272972200062975,-0.10077592992788997,-0.07677641114472844,-0.07823650314222785,-0.05447756057399289,-0.007346076783791844,-0.014126422053135967,,,,,,,,
2023-08-17,26664.550781,1684.933472,218.535843,21.709974,430.271637,43.331028,80.39,1915.2,13316.93,0.1295593903,4.431128656,0.05554263748,0.0003799244651,0.1586303945,2.85933684,0.1703169203,29005.781272224,0.1295593903,4.431128656,0.05554263748,0.0003799244651,0.1586303945,2.85933684,0.1703169203,29005.781272224,-0.07097917153216127,-0.06685956879020072,-0.05750193307641327,-0.04830800489655107,-0.0076199011817180695,-0.0032653843131631444,0.012723607961703243,-0.006793548721671927,-0.011703475345890668,-0.08602191306637053,-0.05058132361844292,-0.036016221832526396,-0.08622481931196879,-0.0679893804707391,-0.010975515347988574,-0.005383014448438805,0.004198339877729884,-0.08602191306637053,-0.05058132361844292,-0.036016221832526396,-0.08622481931196879,-0.0679893804707391,-0.010975515347988574,-0.005383014448438805,0.004198339877729884,,,,,,,,
2023-08-18,26049.556641,1660.945068,216.112549,21.335493,430.478729,43.286041,81.25,1916.5,13290.78,0.132805691,4.510455368,0.05874957722,0.0003948251008,0.1645109623,2.874344081,0.168864087,26335.766929094,0.132805691,4.510455368,0.05874957722,0.0003948251008,0.1645109623,2.874344081,0.168864087,26335.766929094,-0.02306411028826405,-0.014237003655417912,-0.01108877137376496,-0.017249260639372488,0.0004813052550800556,-0.0010382167715938806,0.010697847991043563,0.0006787802840433343,-0.0019636657998501894,0.02505646786761706,0.017902145967390704,0.05773834094851504,0.03921999520635766,0.03707087672911258,0.00524850405522681,-0.008530175965141717,-0.09205110933132543,0.02505646786761706,0.017902145967390704,0.05773834094851504,0.03921999520635766,0.03707087672911258,0.00524850405522681,-0.008530175965141717,-0.09205110933132543,,,,,,,,
