Date,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets
2020-04-10,,,,,,,,,,,,,,,,
2020-04-11,,,,,,,,,,,,,,,,
2020-04-12,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,,,,,
2020-04-26,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,,,,,
2020-04-30,,,,,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,,,,,
2020-05-02,,,,,,,,,,,,,,,,
2020-05-03,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,,,,,
2020-05-07,,,,,,,,,,,,,,,,
2020-05-08,,,,,,,,,,,,,,,,
2020-05-09,,,,,,,,,,,,,,,,
2020-05-10,,,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,,,
2020-05-12,,,,,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,,,,,
2020-05-14,,,,,,,,,,,,,,,,
2020-05-15,,,,,,,,,,,,,,,,
2020-05-16,,,,,,,,,,,,,,,,
2020-05-17,,,,,,,,,,,,,,,,
2020-05-18,,,,,,,,,,,,,,,,
2020-05-19,,,,,,,,,,,,,,,,
2020-05-20,,,,,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,,,,,
2020-05-22,,,,,,,,,,,,,,,,
2020-05-23,,,,,,,,,,,,,,,,
2020-05-24,,,,,,,,,,,,,,,,
2020-05-25,,,,,,,,,,,,,,,,
2020-05-26,,,,,,,,,,,,,,,,
2020-05-27,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,,,,,
2020-05-30,,,,,,,,,,,,,,,,
2020-05-31,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,
2020-06-02,,,,,,,,,,,,,,,,
2020-06-03,,,,,,,,,,,,,,,,
2020-06-04,,,,,,,,,,,,,,,,
2020-06-05,,,,,,,,,,,,,,,,
2020-06-06,,,,,,,,,,,,,,,,
2020-06-07,,,,,,,,,,,,,,,,
2020-06-08,,,,,,,,,,,,,,,,
2020-06-09,,,,,,,,,,,,,,,,
2020-06-10,,,,,,,,,,,,,,,,
2020-06-11,,,,,,,,,,,,,,,,
2020-06-12,,,,,,,,,,,,,,,,
2020-06-13,,,,,,,,,,,,,,,,
2020-06-14,,,,,,,,,,,,,,,,
2020-06-15,,,,,,,,,,,,,,,,
2020-06-16,,,,,,,,,,,,,,,,
2020-06-17,,,,,,,,,,,,,,,,
2020-06-18,,,,,,,,,,,,,,,,
2020-06-19,,,,,,,,,,,,,,,,
2020-06-20,,,,,,,,,,,,,,,,
2020-06-21,,,,,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,,,,,
2020-06-23,,,,,,,,,,,,,,,,
2020-06-24,,,,,,,,,,,,,,,,
2020-06-25,,,,,,,,,,,,,,,,
2020-06-26,,,,,,,,,,,,,,,,
2020-06-27,,,,,,,,,,,,,,,,
2020-06-28,,,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,,,,
2020-07-01,,,,,,,,,,,,,,,,
2020-07-02,,,,,,,,,,,,,,,,
2020-07-03,,,,,,,,,,,,,,,,
2020-07-04,,,,,,,,,,,,,,,,
2020-07-05,,,,,,,,,,,,,,,,
2020-07-06,,,,,,,,,,,,,,,,
2020-07-07,,,,,,,,,,,,,,,,
2020-07-08,,,,,,,,,,,,,,,,
2020-07-09,0.8535962977757671,0.7913104683552166,0.365195787751944,0.3005044844023553,0.2110212228786655,0.2026572232328113,0.13304290699295435,0.3199147043364266,0.4675982980740677,0.3322206766165066,0.2249287290769725,-0.059668657238446526,0.3824612395824995,,0.06132419466775565,-0.023005491999477844
2020-07-10,0.8533012506850031,0.7886087312309773,0.3723552407271075,0.2987645422877393,0.21102221455794276,0.20259259590485834,0.13317461446798726,0.3191404013644622,0.4675944404596045,0.33203014290752203,0.2250296240619099,-0.05971224257366721,0.3820108072364463,,0.06160298458659705,-0.02300068597393053
2020-07-11,0.8531713230509668,0.7870919653453663,0.3711229535028403,0.2998530058626967,0.212996340700359,0.20206357218245644,0.1336431482439493,0.32102473917512153,0.4638875707534335,0.33225866060237386,0.22615179428837534,-0.05894504713120458,0.37321836175847223,,0.0623597117536723,-0.023135195201687907
2020-07-12,0.8522227995369946,0.8060468793969137,0.3598990558347088,0.2952706047117826,0.22219238150736015,0.20300117430131256,0.13838636083342723,0.32293949989176346,0.4614202705406782,0.32968380148974025,0.2247544603697011,-0.05998464076411803,0.3672993703118335,,0.061676698295548275,-0.023073116464970293
2020-07-13,0.8524695505484856,0.8115509579789598,0.3506421379157489,0.30704977655005405,0.23157080846276967,0.20253768470786934,0.14015752909342893,0.34001195418930136,0.46158869189002544,0.33098983523709335,0.22494159327056826,-0.059845557349356565,0.3686357478576425,,0.06189621035939298,-0.023086589976392877
2020-07-14,0.8509210617412963,0.8105124097205787,0.34769177515061644,0.2899590454591199,0.22134330751659487,0.2043720329524737,0.12000924007423214,0.3282260205541063,0.457804601227011,0.32758437319562367,0.22123595620768488,-0.06141065176636472,0.3606723507650222,,0.030634996030315654,-0.023069785929552142
2020-07-15,0.8439122747114833,0.7957077883333064,0.3235913820436953,0.2897541362724899,0.18163417044146746,0.20819447900233204,0.14050362250605658,0.3109952978215397,0.44675053470992593,0.31878952412553274,0.2218444591474727,-0.060099378090709525,0.3074191546280568,,0.03628389528725012,-0.02422248732962906
2020-07-16,0.8435400788101075,0.7948312798960637,0.3013966539177446,0.30198075678296304,0.18245494340039073,0.20763529281222495,0.1434616169700112,0.3161254786317617,0.4476042033131921,0.30193239460160315,0.2231541309842263,-0.059924350751634686,0.3084077938535527,,0.007693436932571417,-0.024235606930407813
2020-07-17,0.8587163152409082,0.799383149830733,0.29534524357333736,0.3035406651231464,0.18424920365221953,0.20754330380539904,0.14407713549310286,0.3182616937069888,0.4446570554201525,0.2973263125375415,0.22132757618871698,-0.05923776027427627,0.29997705919269607,,0.009185792850198767,-0.024424612440409662
2020-07-18,0.8589662115870407,0.800049855029229,0.29223984923282226,0.3034058173431755,0.18372078352689317,0.20806515831266145,0.1438336832559717,0.31790197765058026,0.4430946063264296,0.29485214627371964,0.21946718877515417,-0.05971739887173562,0.2968203871767975,,0.008688536873824133,-0.025533989486852225
2020-07-19,0.8540999841965454,0.7799977422059906,0.27028513975407237,0.28424167111857956,0.16915642336841502,0.13129512385948122,0.17539631299544525,0.30662734814759396,0.4387625059164971,0.2862415882040633,0.2170588796774885,-0.06248060227922115,0.2610441361635288,,0.0053160111074521494,-0.024343206788368467
2020-07-20,0.8540128345096464,0.7778336512106057,0.2747930927006133,0.2895718718789401,0.16929306990115753,0.2329461574862254,0.1746961466800791,0.307481885682275,0.4377950154282886,0.2831784900986486,0.21589241768002224,-0.062382942003590604,0.26341530227497256,,0.005422953583521803,-0.029653806167349216
2020-07-21,0.8533067803350259,0.7751872245170179,0.26387569639692426,0.2748331733784888,0.1334592313115803,0.2131801603713974,0.1532529050416205,0.2829545517628802,0.43458901130069466,0.2775076928313765,0.21180588008247314,-0.062160614050566415,0.256572709537321,,0.006352055246513645,-0.03940553930775259
2020-07-22,0.8472075951589536,0.7754382953296802,0.2955836982136045,0.28182078168582597,0.14617328655471,0.1728505645813008,0.1532967243801131,0.2894386004391186,0.4369830202927879,0.2744867753330711,0.2112040478809261,-0.06164550815455823,0.2591440743432737,,0.008433501610361547,-0.042243907513017785
2020-07-23,0.839502499561591,0.7720485408479543,0.29570452433100175,0.27510771910733245,0.13873405661243693,0.17073811215271945,0.1651333428016276,0.27715216609689,0.43610271627075947,0.27446340484988857,0.20925370119415077,-0.061281087045610354,0.2556026411292811,,0.009183506584200274,-0.041449832480873736
2020-07-24,0.8413394306918277,0.7672182739121769,0.2969903859855906,0.2763328643703362,0.13830102557133814,0.17099124423994005,0.16375461322995555,0.2785245908291784,0.4368558592894173,0.2758701698042546,0.2096770023979973,-0.060955375725748995,0.2574328141795151,,0.009696810607417271,-0.0400015217701123
2020-07-25,0.8215433215220265,0.7665005862676337,0.29537581277920344,0.27631546329708,0.13828265363796252,0.1709711429508467,0.16373919142206358,0.27850423619252623,0.43623218459837165,0.27118465633942096,0.20792405801407934,-0.0609614759603908,0.25236027085917434,,0.009599904903714327,-0.03893196417919739
2020-07-26,0.8234411899995719,0.7584389419298523,0.3143077778165348,0.27136103095505965,0.13211184537509768,0.22048255117460822,0.16280854850573023,0.27395201611352804,0.4236089559146756,0.26606263437269956,0.2030441160725446,-0.06119675000966745,0.25796535396417397,,0.009002852982680146,-0.04601629272197003
2020-07-27,0.7993309417584746,0.7086729290684831,0.3552883867332913,0.27099068980343277,0.15765314930068353,0.1995144835600011,0.2805830937200215,0.2991174966417643,0.3677168413732686,0.20837871306475927,0.15457866969235673,-0.06110556974439295,0.3384147172188647,,0.0022805138578518027,-0.04637377866400646
2020-07-28,0.7835541100921601,0.6800001751018286,0.3246795206224117,0.20177246225125448,0.1282638592051187,0.0021144321044943466,0.3919626432730722,0.20814284848534959,0.3583787073656979,0.21434876776869752,0.1367860198023597,-0.061904271605468006,0.3259255707223729,,0.012007147076457034,-0.05412959884269698
2020-07-29,0.7826882326535852,0.6717792280954521,0.31030808100725127,0.20036147722711897,0.12510161616083765,0.057977645603082585,0.38994856151695634,0.21005995775067002,0.35443742105828663,0.2127641908759086,0.13268073971359526,-0.06343041347165507,0.30824693335997766,,0.009532681048721238,-0.054870435256696826
2020-07-30,0.7705986108863409,0.6688570307587374,0.30714878384296246,0.22917988810723208,0.1433203075934411,0.04871414069964488,0.39209781066193655,0.24542096957673237,0.4253402648075081,0.2060652607896764,0.12370078836391815,-0.06264751443526342,0.30364103884224614,,0.011321135155250168,-0.05543330063499718
2020-07-31,0.772387211561042,0.6708824724583707,0.297504913008295,0.23291724560294694,0.14269099525344514,0.04989012958717562,0.3971926801053332,0.2516607028437429,0.4400318138330686,0.20102285861824662,0.11654679599312216,-0.06280219887963119,0.29827172163463095,,0.010971837040449933,-0.0515237750543773
2020-08-01,0.7655151275037677,0.6773317448389442,0.2881684003520852,0.22805812060930644,0.13682434411676211,0.04449111726320398,0.38961770255860945,0.24537445004362374,0.44503446008550385,0.19447324566749008,0.10939416535053224,-0.06439807146486956,0.29742392824785907,,0.007115160390294376,-0.055900753924392435
2020-08-02,0.7706770492428214,0.6820134969402917,0.23535156095866613,0.2253832317314866,0.140699478668709,0.049900006334818205,0.3874176039356119,0.24504017835370878,0.45767956348108124,0.2002048192487048,0.12431640678059121,-0.059976468897427186,0.29872805486921616,,0.011485291514696827,-0.06656252948102817
2020-08-03,0.7731242359541507,0.6809333518654739,0.23897268336698443,0.22618546017574984,0.14735980703882862,0.04438804080786947,0.3873765342936046,0.24789182720703376,0.46412153264938105,0.19983277679086986,0.12649165698234016,-0.06021417831172194,0.29801467758693145,,0.010930067300967518,-0.07115742568093285
2020-08-04,0.7848247723861548,0.6928997109654051,0.24578151845643373,0.23551567356032926,0.1410641615515523,0.055945752808651696,0.4031543970529613,0.24645498876210062,0.4844828280671261,0.20464142991593043,0.1279703360154865,-0.059117420985879,0.3047269156674618,,0.013510178902332592,-0.07128046520895487
2020-08-05,0.7885052781256623,0.7103694946613178,0.24288314912903408,0.22231816949630742,0.11757967588356721,0.0890693558186766,0.3758911849598679,0.22853949350734087,0.47615565790781483,0.20548471841847277,0.12876156623080448,-0.05933136906175672,0.31208601420282667,,0.015462838248921511,-0.07278617688412092
